id,title,artists,year ,loudness,energy,danceability,tempo
81,lovely (with Khalid),Billie Eilish,2018,-10.109,0.296,0.351,115.284
82,Stir Fry,Migos,2018,-5.474,0.816,0.815,181.967
83,HUMBLE.,Kendrick Lamar,2018,-6.638,0.621,0.908,150.011
84,Vaina Loca,Ozuna,2018,-4.249,0.805,0.754,93.983
85,Perfect Duet (Ed Sheeran & Beyonc?),Ed Sheeran,2018,-7.365,0.299,0.587,94.992
86,Coraz?n (feat. Nego do Borel),Maluma,2018,-6.073,0.738,0.722,198.075
87,Young Dumb & Broke,Khalid,2018,-6.351,0.539,0.798,136.949
88,S?guelo Bailando,Ozuna,2018,-7.11,0.664,0.855,98.015
89,Downtown,Anitta,2018,-4.985,0.679,0.775,166.008
90,Bella,Wolfine,2018,-6.688,0.493,0.909,94.016
91,Promises (with Sam Smith),Calvin Harris,2018,-5.991,0.768,0.781,123.07
92,Yes Indeed,Lil Baby,2018,-9.309,0.346,0.964,119.958
93,I Like Me Better,Lauv,2018,-7.621,0.505,0.752,91.97
94,This Is Me,Keala Settle,2018,-7.276,0.704,0.284,191.702
95,Everybody Dies In Their Nightmares,XXXTENTACION,2018,-7.066,0.57,0.734,129.953
96,Rewrite The Stars,Zac Efron,2018,-7.005,0.619,0.684,125.046
97,I Miss You (feat. Julia Michaels),Clean Bandit,2018,-6.318,0.658,0.638,105.076
98,No Brainer,DJ Khaled,2018,-4.706,0.76,0.552,135.702
99,Dusk Till Dawn - Radio Edit,ZAYN,2018,-6.593,0.437,0.258,180.043
100,Be Alright,Dean Lewis,2018,-6.319,0.586,0.553,126.684
