id,title,artists,year ,loudness,energy,danceability,tempo
1,Shape of You,Ed Sheeran,2017,-3.183,0.652,0.825,95.977
2,Despacito - Remix,Luis Fonsi,2017,-4.328,0.815,0.694,88.931
3,Despacito (Featuring Daddy Yankee),Luis Fonsi,2017,-4.757,0.786,0.66,177.833
4,Something Just Like This,The Chainsmokers,2017,-6.769,0.635,0.617,103.019
5,I'm the One,DJ Khaled,2017,-4.284,0.668,0.609,80.924
6,HUMBLE.,Kendrick Lamar,2017,-6.842,0.611,0.904,150.02
7,It Ain't Me (with Selena Gomez),Kygo,2017,-6.596,0.533,0.64,99.968
8,Unforgettable,French Montana,2017,-5.043,0.769,0.726,97.985
9,That's What I Like,Bruno Mars,2017,-4.961,0.56,0.853,134.066
10,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2017,-8.374,0.451,0.735,117.973
11,XO TOUR Llif3,Lil Uzi Vert,2017,-6.366,0.75,0.732,155.096
12,Paris,The Chainsmokers,2017,-6.428,0.658,0.653,99.99
13,Stay (with Alessia Cara),Zedd,2017,-5.024,0.634,0.679,102.013
14,Attention,Charlie Puth,2017,-4.432,0.626,0.774,100.041
15,Mask Off,Future,2017,-8.795,0.434,0.833,150.062
16,Congratulations,Post Malone,2017,-4.215,0.812,0.627,123.071
17,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,2017,-3.862,0.817,0.696,98.064
18,Castle on the Hill,Ed Sheeran,2017,-4.868,0.834,0.461,135.007
19,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017,-4.068,0.763,0.72,101.965
20,Believer,Imagine Dragons,2017,-4.305,0.787,0.779,124.982
21,Mi Gente,J Balvin,2017,-4.915,0.677,0.543,103.809
22,Thunder,Imagine Dragons,2017,-4.749,0.81,0.6,167.88
23,Say You Won't Let Go,James Arthur,2017,-7.398,0.557,0.358,85.043
24,There's Nothing Holdin' Me Back,Shawn Mendes,2017,-4.035,0.8,0.857,121.996
25,Me Rehúso,Danny Ocean,2017,-6.327,0.804,0.744,104.823
26,Issues,Julia Michaels,2017,-6.864,0.427,0.706,113.804
27,Galway Girl,Ed Sheeran,2017,-3.374,0.876,0.624,99.943
28,Scared to Be Lonely,Martin Garrix,2017,-7.786,0.54,0.584,137.972
29,Closer,The Chainsmokers,2017,-5.599,0.524,0.748,95.01
30,Symphony (feat. Zara Larsson),Clean Bandit,2017,-4.581,0.629,0.707,122.863
31,I Feel It Coming,The Weeknd,2017,-5.94,0.813,0.768,92.994
32,Starboy,The Weeknd,2017,-7.028,0.594,0.681,186.054
